Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
Melt a Frost pillar,250,13,D,"Western Sea, Whirlwind","Shaman Village, Taopo Swamp, Mars Lighthouse","125, 131, 199, 202, 257, 285",1383,13.8%
Scoop up the bone in Lemuria,206,17,E,"Scoop, Grind","Lemuria, Fun","123, 139, 141, 173, 113",1372,13.7%
Climb the Lash rope in Gondowan Cliffs,127,15,D,Lash,"Frost, Scoop, Gondowan, RopeClimb","192, 122, 123, 124, 125, 126",1362,13.6%
Use any psynergy to collect an item 4 different towns,107,13,D,"Collect_l, Cyclone",,"100, 109",1321,13.2%
Battle a Djinn you have cornered,114,13,D,"Djinn_l, Lash","Lash, Pound, Parch","204, 199, 167, 119",1308,13.1%
Befriend the Yampi Desert Cave Djinn,196,25,F,"Teleport, Sand, Scoop, Burst, Battle, Djinn_l","Yampi, Osenia","193, 225",1297,13.0%
Reveal three hidden djinn,275,16,D,"Djinn_l, Sccop, Cyclone","Reveal, Tremor, Force, RarePsy",169,1293,12.9%
Collect the Gondowan Settlement Chest,101,10,D,"Western Sea, Cyclone, Collect_l",Gondowan,30,1292,12.9%
Restore the Sandfall in the center of Ankohl Ruins,147,18,E,"Sand, Whirlwind, Reveal, Collect_l","Ankohl, Angara","138, 224",1239,12.4%
Mind Read the Cow in Lemuria,173,20,E,"Mind Read, Grind","Lemuria, Fun, Growth","113, 123, 139, 141, 206",1226,12.3%
Talk to (not Mind Read) each Animal in the trading sequence,288,15,D,"Frost, Sand",,"231, 149",1208,12.1%
"Use Blaze on a fire (Naribwe, Magma or Mars)",105,13,D,"Blaze, RarePsy",,,1201,12.0%
Turn on all lights in Gaia Rock,129,16,D,"Whirlwind, Cyclone, Dancing Idol","Gaia Rock, Nihan",287,1191,11.9%
Stack two blocks on top of each other to obtain an item.,268,17,E,"RarePsy, Carry",Mind Read,145,1185,11.8%
Break all 3 bridges in Shrine of the Sea God,203,15,D,"Frost, Lash","Fun, Exploration",,1181,11.8%
Collect an item hidden by weeds from two different places,109,13,D,"Cyclone, Collect_l",,"100, 107",1175,11.8%
Catch the Kalt Island Apple,145,17,E,"Catch, Western Sea, Collect_l, RarePsy",Islands,268,1170,11.7%
"Enter 4 caves in towns (Yallam, Izumo, Apojii, Mikas., Alhaf., Madra)",108,13,D,"Exploration, Reveal, Burst",,,1138,11.4%
Collect 3 of 4 Vanilla Mints,100,10,D,"Western Sea, Cyclone, Collect_l","Jupiter, Apojii, Atteka","107, 109, 43, 95",1133,11.3%
Be burrowed in sand while an enemy is burrowed in sand,225,16,D,"Sand, Pound","Burst, Yampi, fun, Osenia",196,1128,11.3%
Use Tremor to collect an item,252,20,E,"Tremor, RarePsy",,,1126,11.3%
Reach the top of Tundaria,146,18,E,"Parch, Reveal, Collect_l","Tundaria, Pound","106, 119, 121, 213, 270, 281",1122,11.2%
Befriend the djinn in Ancient Lemuria,139,17,E,"Grind, Tremor, Cyclone, Djinn_l",Lemuria,"113, 123, 141, 173, 206",1118,11.2%
Open the entrance to Aqua Rock Interior (whirlpool at the top),283,16,D,"Douse, Frost",,"144, 282, 118, 133, 229",1091,10.9%
Reach the Aqua Rock Purple Room,118,14,D,Douse,"Parch, Frost, Aqua Rock, Apojii","116, 117, 119, 120, 121, 229, 133, 283",1086,10.9%
"Solve the Hover ""bird"" puzzle prior to Dullahan",251,20,E,"Reveal, Sand, Hover",Atteka,"97, 234, 235",1086,10.9%
Use Parch to drain water in two separate areas,121,14,D,Parch,,"116, 117, 118, 119, 120, 106, 146, 213, 281",1077,10.8%
Activate the Hover Pads in Jupiter Lighthouse,148,18,E,"Cyclone, Hover","Western Sea, Jupiter, Atteka","191, 192, 200, 255, 95",1061,10.6%
Enter Jupiter Lighthouse's basement purple room,95,10,D,"Western Sea, Cyclone, Exploration","Jupiter, Atteka","100, 191, 192, 200, 255",1033,10.3%
Befriend the Islet Cave djinn in the corridor,198,25,F,"Turtle, Mind Read, Teleport, Tremor, Battle, Djinn_l, RarePsy",Islands,"256, 153",1028,10.3%
Collect the Tundaria Tower djinn,119,14,D,"Parch, Battle, Djinn_l",Tundaria,"116, 117, 118, 120, 121, 106, 146, 213, 114, 281",1022,10.2%
Collect the Izumo Summon Tablet item,166,22,F,"Reveal, Pound, Sand, Parch, Frost, Collect_l","Izumo, Nihan",,1021,10.2%
Befriend the Aqua Rock djinn,116,14,D,"Parch, Douse","Aqua Rock, Apojii","117, 118, 119, 120, 121, 229, 133",1020,10.2%
Climb the Lash rope in Apojii Islands,122,15,D,"Lash, Sand, Whirlwind","Apojii, RopeClimb","192, 123, 124, 125, 126, 127",988,9.9%
Reach the last room of Taopo Swamp,172,22,F,"Whirlwind, Frost, Douse, Tremor, Exploration, RarePsy","Taopo, Osenia","161, 190",985,9.8%
Befriend the Mars Lighthouse djinn in the ice puzzle,197,25,F,"Western Sea, Magma Ball, Grind, Burst, Pound, Blaze, Djinn_l, Battle, RarePsy","Mars, Northern Reaches",,981,9.8%
Fall through cracked tiles in three different dungeons,255,18,E,"Western Sea, Cyclone, Hover","Reveal, Teleport, Red Key, Blue Key, Jupiter","95, 148, 191, 192, 200",977,9.8%
Collect any chest in Alhafran Cave,132,16,D,"Briggs, Collect_l, Lash, Pound","Tremor, Burst, Lash, Pound, Alhafra, Osenia","7, 134, 135",973,9.7%
Collect the Cloud Brand from behind Serpent,155,18,E,"Sand, Growth, Collect_l","Gaia Rock, Nihan","198, 256",964,9.6%
Climb the Lash rope in the Blue Door side of Jupiter Lighthouse,192,24,F,"Western Sea, Cyclone, Hover, Lash, RareItem","Jupiter, Atteka, RopeClimb","148, 191, 201, 122, 123, 124, 125, 126, 127, 255",962,9.6%
Burst the wall at the top of Tundaria,213,22,F,"Parch, Pound, Reveal, Burst",,"106, 119, 121, 146, 270, 281",942,9.4%
Drain the water in Mikasalla cave,117,14,D,"Parch, Scoop","Mikasalla, Osenia","116, 118, 119, 120, 121",930,9.3%
Have an Ascetic and Cavalier in the party simultaneously,79,12,C,"Djinn_c, Class",,"80, 81, 82, 211, 212, 76, 78, 277, 278, 279, 280",921,9.2%
Befriend 2 of 4 djinn in the GS1 catchup locations,143,17,E,"Western Sea, Djinn_l, Lift","Grind, Growth, Burst, Magma Ball",99,917,9.2%
Make a tiny Frost pillar,161,19,E,"Frost, Growth, Whirlwind, Exploration","Taopo, Osenia",172,914,9.1%
Have a Cavalier and Scholar in the party simultaneously.,81,12,C,"Djinn_c, Class",,"79, 80, 82, 211, 212, 78, 77, 277, 278, 279, 280",908,9.1%
Take a selfie with Karst,258,17,E,"Pound, Scoop","Lash, Whirlwind, Burst, Reveal, Hover, Blaze, Teleport","165, 140, 191, 200",907,9.1%
Talk to all hint NPCs,236,24,F,"Grind, Magma Ball, Whirlwind, Lash, Reveal, Pound, Scoop",Exploration,,907,9.1%
Have a Shaman and Enchanter in the party simultaneously,80,12,C,"Djinn_c, Class",,"79, 81, 82, 211, 212, 75, 77, 277, 278, 279, 280",903,9.0%
Climb the Lash rope next to Moapa's house,125,15,D,"Lash, Whirlwind, Shamans Rod, Western Sea","Shaman Village, Hesperia, RopeClimb","125, 192, 122, 123, 124, 126, 127, 257, 285",893,8.9%
Reverse the gears in Gabomba,271,16,D,"Scoop, Pound","Gabomba, Kibombo, Gondowan, Lash","195, 124, 165, 140",893,8.9%
Have a Scholar and an Ascetic in the party simultaneously.,212,12,C,"Djinn_c, Class",,"80, 81, 82, 211, 79, 77, 78, 277, 278, 279, 280",885,8.8%
Enter Magma Interior,96,10,D,"Western Sea, Lift","Magma Rock, Gondowan",,883,8.8%
Fix the Osenia bridge,134,16,D,"Briggs, Burst, Pound, Lash",Osenia,135,877,8.8%
Open the Fire Brand chest,151,18,E,"Grind, Lift, Collect_l",Treasure Isle,,873,8.7%
Reach the top of Shrine of the Sea God,162,20,E,"Frost, Lash, Reveal, Tear, Collect_l",Indra,,873,8.7%
Collect the Sol Blade chest (Mars LH ice puzzle item),194,25,F,"Teleport, Grind, Burst, Blaze, Pound, Collect_l, RarePsy","Mars, Northern Reaches",171,855,8.6%
Befriend 7 Venus Djinn,75,12,C,Djinn_c,,"76, 77, 78, 183, 83, 84, 85, 80, 211, 82, 279, 277, 278",853,8.5%
Clear Jupiter Lighthouse,200,25,F,"Western Sea, Hover, Cyclone, Pound, Reveal, Collect_s, Exploration","Jupiter, Atteka","148, 191, 192, 255, 258, 95",835,8.3%
Lift the Atteka inlet boulder or reveal the djinn,160,13,D,"Western Sea, Djinn_l, Lift","Atteka, Cyclone",,823,8.2%
Hop over a rock in S.Village Cave (hold down in lower area),214,10,D,"Western Sea, Lift","Hesperia, Shaman Village",,820,8.2%
Befriend the SW Atteka Djinn,99,10,D,"Western Sea, Lift, Djinn_l",Islands,"31, 35, 143",813,8.1%
Climb the Lash rope onto the gear in Gabomba,124,15,D,"Lash, Scoop","Gabomba, Kibombo, Gondowan, RopeClimb","192, 122, 123, 125, 126, 127, 195, 140, 165, 271",796,8.0%
"Have someone be a Ranger (Me, J, Ma)",280,12,C,"Djinn_c, Class",,"76, 77, 78, 79, 70, 81, 82, 277, 278, 279, 184",786,7.9%
Have an Enchanter and a Savage in the party simultaneously.,82,12,C,"Djinn_c, Class",,"80, 81, 79, 211, 212, 77, 277, 278, 279, 280, 75, 76",780,7.8%
Befriend 7 Mars Djinn,76,12,C,Djinn_c,,"75, 77, 78, 183, 86, 87, 88, 79, 211, 82, 277, 278, 280",765,7.6%
Befriend 7 Mercury Djinn,78,12,C,Djinn_c,,"76, 77, 75, 183, 92, 93, 94, 81, 212, 79, 211, 278, 279, 280",761,7.6%
Have a Savage and a Scholar in the party simultaneously.,211,12,C,"Djinn_c, Class",,"80, 81, 82, 79, 212, 75, 76, 277, 278, 279, 280",747,7.5%
"Have someone be a Dragoon (V, Ma, Me)",278,12,C,"Djinn_c, Class",,"75, 76, 78, 79, 70, 81, 82, 277, 279, 280, 184",745,7.4%
"Have someone be a Ninja (V, Ma, J)",277,12,C,"Djinn_c, Class",,"75, 76, 77, 79, 70, 81, 82, 278, 279, 280, 184",732,7.3%
Make Gabomba stick its tongue out,140,17,E,"Exploration, Scoop, Lash, Pound, Gabomba","Kibombo, Gondowan, Puzzle","195, 124, 165, 258, 271, 289",727,7.3%
Collect three items with different colors in their names,42,5,B,Collect_c,,,716,7.2%
Get both Djinn in Contigo,169,20,E,"Scoop, Force, Western Sea, Djinn_l, RarePsy","Atteka, Contigo",275,716,7.2%
Climb the Lash rope in the center of Madra Catacombs,126,15,D,"Lash, Frost, Reveal","Madra, Indra, RopeClimb","192, 122, 123, 124, 125, 127",691,6.9%
Attempt to return the Laughing Fungus to the old couple in Madra,259,5,B,Exploration,,,689,6.9%
Enter the Magma Rock Tablet Room,170,22,F,"Western Sea, Lift, Growth, Burst, Whirlwind, Collect_l","Magma Rock, Gondowan","150, 190, 228, 282",684,6.8%
Have the Fortune Teller make a reading from two quest items,45,5,B,"Collect_c, Exploration",Gondowan,"291, 18",679,6.8%
Befriend 7 Jupiter Djinn,77,12,C,Djinn_c,,"76, 75, 78, 183, 89, 90, 91, 82, 212, 80, 211, 277, 279, 280",678,6.8%
Get the shoal enclosed Rusty Weapon (Western Sea),103,5,B,"Hover, Collect_l",,,678,6.8%
Equip 3 party members with rusty weapons,210,9,B,Inventory,,,674,6.7%
Obtain the Corn,44,5,B,Collect_s,Fun,,672,6.7%
"Have someone be a Medium (Me, J, V)",279,12,C,"Djinn_c, Class",,"75, 77, 78, 79, 70, 81, 82, 277, 278, 280, 184",666,6.7%
Equip someone with two pieces of automatic HP/PP restoring gear,209,9,B,Inventory,,,661,6.6%
Befriend the Trial Road djinn,199,25,F,"Western Sea, Whirlwind, Shamans Rod, Hover, Lift, Reveal, Battle, Djinn_l","Shaman Village, Hesperia","202, 114, 257, 131, 125, 250, 285",657,6.6%
Own 3 Rings,39,5,B,Collect_c,,,657,6.6%
Bring the Black Crystal into the boat's engine room,291,5,B,Western Sea,,45,652,6.5%
Own 2 Shirts,37,5,B,Collect_c,,,652,6.5%
Own 4 Boots,38,5,B,Collect_c,,,651,6.5%
"""Open"" 3 Elemental Rocks",144,17,E,"Exploration, Lift, Whirlwind, Douse","Whirlwind, Douse, Dancing Idol, Lift","282, 283, 284",637,6.4%
"Learn two of Azul, Catastrophe or Daedalus",215,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 233",637,6.4%
Talk to three dogs (not Mind Read),231,5,B,Grind,"Tremor, Fun",288,637,6.4%
Play a game in Contigo that requires a game ticket,102,5,B,"Western Sea, Collect_s",Atteka,102,633,6.3%
Scoop the Loho Mythril Silver,163,20,E,"Western Sea, Lift, Scoop, Magma Ball, Collect_l","Loho, Angara",,632,6.3%
Befriend the Gabomba Catacombs djinn,165,20,E,"Gabomba, Cyclone, Scoop, Pound, Djinn_l","Kibombo, Gondowan, Lash","195, 140, 124, 258, 271, 289",630,6.3%
"Find cheese in two ovens (Mikasalla, Prox)",230,5,B,"Western Sea, Magma Ball, RareItem","Exploration, Fun","98, 226",625,6.2%
Collect two Prongs,205,5,B,Prongs,,266,601,6.0%
8 Stat Boosters,43,5,B,Collect_c,,100,590,5.9%
Burst a Moai in Magma Rock,150,18,E,"Western Sea, Lift, Burst","Magma Rock, Gondowan","170, 190, 228, 282",589,5.9%
Befriend the Shaman Village Cave djinn,167,20,E,"Whirlwind, Frost, Lift, Western Sea, Djinn_l","Shaman Village, Hesperia",114,584,5.8%
Learn Eclipse or Haures,49,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 233",579,5.8%
Learn Ulysses or Coatlicue,48,6,B,"Summon, Collect_s",,"46, 47, 49, 174, 181, 233",571,5.7%
Reach the end of Gabomba Catacombs,195,25,F,"Gabomba, Cyclone, Scoop, Lash, Pound, Frost, Reveal, Collect_l","Kibombo, Gondowan","124, 140, 165, 271",570,5.7%
Learn Moloch or Flora,47,6,B,"Summon, Collect_s",,"46, 48, 49, 179, 180, 233",561,5.6%
Use Thor in battle,178,23,B,"Summon, Battle, Djinn_c",,"174, 175, 176, 177, 179, 180, 181",560,5.6%
Give Mia 6 Djinn,246,9,B,"Djinn_c, Character",Exploration,"240, 248, 265, 187, 241, 242, 243, 244, 245",555,5.5%
Learn Iris or Charon,233,6,B,"Summon, Collect_s",,"46, 47, 48, 181, 215",555,5.5%
Forge with a Star Dust,223,7,B,Forge,,"53, 54, 55, 56, 57, 58, 59, 74",553,5.5%
Collect the Iris Robe or the Muni Robe,217,6,B,Collect_c,,"216, 218, 51, 52, 50, 219, 220, 221, 222",543,5.4%
Give Ivan 6 Djinn,245,9,B,"Djinn_c, Character",Exploration,"239, 249, 265, 187, 241, 242, 243, 244, 246",541,5.4%
Use Flora in battle,179,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 180, 181, 47",541,5.4%
Use Judgment in battle,175,23,B,"Summon, Battle, Djinn_c",,"174, 176, 177, 178, 179, 180, 181",541,5.4%
Give Sheba 6 Djinn,241,9,B,"Djinn_c, Character",Exploration,"11, 248, 265, 187, 242, 243, 244, 245, 246",539,5.4%
Use Boreas in battle,176,23,B,"Summon, Battle, Djinn_c",,"174, 175, 177, 178, 179, 180, 181",539,5.4%
Equip 3 different pieces of body armor to Ivan,239,9,B,"Inventory, Collect_c, Character",Exploration,"245, 249, 265, 9, 10, 11, 12, 237, 238, 240",538,5.4%
Use Meteor in battle,177,23,B,"Summon, Battle, Djinn_c",,"174, 175, 176, 178, 179, 180, 181",535,5.3%
Use Ulysses in battle,174,23,B,"Summon, Battle, Djinn_c, Collect_s",,"175, 176, 177, 178, 179, 180, 181, 48",532,5.3%
Equip 3 different pieces of body armor to Jenna,10,9,B,"Inventory, Collect_c, Character",,"9, 11, 12, 237, 238, 239, 240, 242, 247, 248",526,5.3%
Learn Zagan or Megaera,46,6,B,"Summon, Collect_s",,"47, 48, 49, 179, 180, 233",526,5.3%
Equip 3 different pieces of body armor to Isaac,237,9,B,"Inventory, Collect_c, Character",Exploration,"243, 247, 249, 10, 11, 12, 238, 239, 240",522,5.2%
Obtain Masamune or Phaeton's Blade,51,6,B,"Summon, Collect_s",,"217, 218, 50, 52, 216, 219, 220, 221, 222",521,5.2%
Use Moloch in battle,180,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 179, 181, 47",520,5.2%
Use a Tier 6 summon (or higher) in battle,181,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 179, 180, 49, 233",518,5.2%
Collect the Jester's Armlet or the Bone Armlet,221,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 216, 222",517,5.2%
Give Isaac 6 Djinn,243,9,B,"Djinn_c, Character",Exploration,"237, 247, 249, 187, 241, 242, 244, 245, 246",517,5.2%
Give Garet 6 Djinn,244,9,B,"Djinn_c, Character",Exploration,"238, 247, 249, 187, 241, 242, 243, 245, 246",516,5.2%
Equip someone with two pieces of forged gear,74,7,B,"Inventory, Forge",,"53, 54, 55, 56, 57, 58, 59, 60",515,5.1%
Find both Venus aligned adepts,261,9,B,Character,Exploration,"247, 248, 249, 250, 262, 263, 264, 265",515,5.1%
Find both Mars aligned adepts,262,9,B,Character,Exploration,"247, 248, 249, 250, 261, 263, 264, 265",513,5.1%
Collect the Nurse Cap or Thorn Crown,219,6,B,Collect_c,,"217, 218, 51, 52, 50, 216, 220, 221, 222",511,5.1%
Equip 3 different pieces of body armor to Piers,12,9,B,"Inventory, Collect_c, Character",,"9, 10, 11, 237, 238, 239, 240, 187, 249, 265",509,5.1%
Collect the Spirit Gloves or the Fujin Shield,222,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 221, 216",507,5.1%
Equip 3 different pieces of body armor to Mia,240,9,B,"Inventory, Collect_c, Character",Exploration,"246, 248, 265, 9, 10, 11, 12, 237, 238, 239",506,5.1%
Forge with Dragon Skin,54,7,B,"Shopping, Forge",,"53, 55, 56, 57, 58, 59, 60, 74, 223, 276",506,5.1%
Collect the Erinyes Tunic or the Full Metal Vest,218,6,B,Collect_c,,"217, 216, 51, 52, 50, 219, 220, 221, 222",503,5.0%
Find both Mercury aligned adepts,264,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 263, 265",503,5.0%
Find both Jupiter aligned adepts,263,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 264, 265",500,5.0%
Give Jenna 6 Djinn,242,9,B,"Djinn_c, Character",Exploration,"10, 247, 248, 187, 241, 243, 244, 245, 246",499,5.0%
Forge with Dark Matter,60,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 58, 59, 74, 223, 276",498,5.0%
Obtain Meditation Rod or Thanatos Mace,50,6,B,"Summon, Collect_s",,"217, 218, 51, 52, 216, 219, 220, 221, 222",496,5.0%
Forge with Tear Stone,53,7,B,"Shopping, Forge",,"54, 55, 56, 57, 58, 59, 60, 74, 223, 276",495,5.0%
Collect the Valkyrie Mail or the Phantasmal Mail,216,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 220, 221, 222",494,4.9%
Equip 3 different pieces of body armor to Garet,238,9,B,"Inventory, Collect_c, Character",Exploration,"244, 247, 249, 10, 11, 12, 237, 239, 240",493,4.9%
Have Sunshine forge three different materials,276,7,B,RNG + Money,"Shopping, Forge","53, 54, 55, 56, 57, 58, 59, 60, 74, 223",492,4.9%
Obtain the Lightning Sword or the Storm Brand,52,6,B,"Summon, Collect_s",,"217, 218, 51, 50, 216, 219, 220, 221, 222",492,4.9%
Collect the Clarity Circlet or Viking Helm,220,6,B,Collect_c,,"217, 218, 51, 52, 50, 219, 216, 221, 222",489,4.9%
Forge with Mythril Silver,59,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 58, 60, 74, 223, 163, 276",489,4.9%
Forge with Golem Core,58,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 59, 60, 74, 223, 276",487,4.9%
Forge with Salamander Tail,55,7,B,"Shopping, Forge",,"53, 54, 56, 57, 58, 59, 60, 74, 223, 276",485,4.9%
Equip 3 different pieces of body armor to Sheba,11,9,B,"Inventory, Collect_c, Character",,"9, 10, 12, 237, 238, 239, 240, 241, 248, 265",477,4.8%
